o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority
3004068,47143,F,242685.11,1992-03-24,5-LOW,Clerk#000000913,0
3004069,23594,O,50981.76,1995-12-16,2-HIGH,Clerk#000000532,0
3004070,91435,P,163370.91,1995-05-10,5-LOW,Clerk#000000766,0
3004071,143266,F,139469.74,1992-08-25,1-URGENT,Clerk#000000441,0
3004096,40690,O,278573.36,1998-07-28,1-URGENT,Clerk#000000367,0
3004097,3085,O,203205.49,1995-06-16,2-HIGH,Clerk#000000672,0
3004098,96631,O,114905.95,1995-08-17,1-URGENT,Clerk#000000272,0
3004099,16520,F,158150.06,1994-01-28,5-LOW,Clerk#000000521,0
3004100,1159,O,296911.11,1995-12-13,1-URGENT,Clerk#000000236,0
3004101,97804,F,196058.78,1994-03-07,2-HIGH,Clerk#000000943,0
3004102,86291,O,121956.74,1997-01-02,2-HIGH,Clerk#000000516,0
3004103,82163,O,249483.17,1996-05-07,4-NOT SPECIFIED,Clerk#000000024,0
3004128,2693,F,164020.66,1993-09-04,4-NOT SPECIFIED,Clerk#000000593,0
3004129,104000,O,160784.69,1997-08-27,4-NOT SPECIFIED,Clerk#000000173,0
3004130,124301,P,165260.00,1995-04-23,3-MEDIUM,Clerk#000000423,0
3004131,69667,O,128516.10,1997-09-27,5-LOW,Clerk#000000108,0
3004132,126433,O,233319.44,1997-01-04,5-LOW,Clerk#000000083,0
3004133,33587,O,219209.52,1997-11-13,5-LOW,Clerk#000000680,0
3004134,37321,O,153007.28,1996-10-26,4-NOT SPECIFIED,Clerk#000000120,0
3004135,88621,O,17868.45,1997-08-28,3-MEDIUM,Clerk#000000650,0
3004160,88576,F,62716.98,1993-04-13,2-HIGH,Clerk#000000986,0
3004161,70795,O,242173.07,1996-02-04,5-LOW,Clerk#000000585,0
3004162,46741,F,170407.45,1992-10-12,4-NOT SPECIFIED,Clerk#000000997,0
3004163,17885,O,22968.14,1997-04-06,1-URGENT,Clerk#000000535,0
3004164,133171,F,39971.35,1994-11-20,5-LOW,Clerk#000000840,0
3004165,38114,F,12658.95,1995-04-02,4-NOT SPECIFIED,Clerk#000000425,0
3004166,80653,F,39247.80,1992-10-06,1-URGENT,Clerk#000000074,0
3004167,126179,O,241092.10,1996-09-06,1-URGENT,Clerk#000000197,0
3004192,127327,F,345402.68,1994-05-26,3-MEDIUM,Clerk#000000150,0
3004193,79076,O,73922.13,1997-05-29,2-HIGH,Clerk#000000618,0
3004194,13741,O,69010.83,1998-03-08,2-HIGH,Clerk#000000423,0
3004195,77161,F,205279.51,1993-11-22,1-URGENT,Clerk#000000516,0
3004196,74023,F,121570.48,1992-12-17,5-LOW,Clerk#000000385,0
3004197,2477,O,249819.08,1997-07-23,1-URGENT,Clerk#000000109,0
3004198,71390,O,28755.81,1997-01-04,5-LOW,Clerk#000000219,0
3004199,146782,O,172722.65,1997-01-10,4-NOT SPECIFIED,Clerk#000000412,0
3004224,33809,F,159706.96,1994-01-10,2-HIGH,Clerk#000000393,0
3004225,21835,F,130498.23,1994-04-10,3-MEDIUM,Clerk#000000933,0
3004226,67066,O,40532.95,1996-11-13,5-LOW,Clerk#000000701,0
3004227,59090,O,195541.37,1995-11-02,2-HIGH,Clerk#000000599,0
3004228,125300,F,128301.71,1994-07-19,3-MEDIUM,Clerk#000000770,0
3004229,62354,F,86316.04,1994-02-26,1-URGENT,Clerk#000000487,0
3004230,76097,F,108311.39,1992-12-26,4-NOT SPECIFIED,Clerk#000000562,0
3004231,45622,O,118241.40,1995-07-01,1-URGENT,Clerk#000000701,0
3004256,90268,F,150129.09,1993-11-01,3-MEDIUM,Clerk#000000697,0
3004257,22135,O,130202.61,1995-09-21,3-MEDIUM,Clerk#000000936,0
3004258,139621,O,196538.02,1996-01-10,4-NOT SPECIFIED,Clerk#000000966,0
3004259,132094,F,157695.88,1993-05-07,3-MEDIUM,Clerk#000000017,0
3004260,102928,P,253344.29,1995-04-27,1-URGENT,Clerk#000000404,0
3004261,79621,F,359934.76,1995-01-13,4-NOT SPECIFIED,Clerk#000000158,0
3004262,25342,O,163672.30,1996-06-12,4-NOT SPECIFIED,Clerk#000000954,0
3004263,49841,O,151163.12,1996-04-01,2-HIGH,Clerk#000000520,0
3004288,64522,O,271454.44,1996-09-14,1-URGENT,Clerk#000000728,0
3004289,42796,F,159892.02,1993-04-22,4-NOT SPECIFIED,Clerk#000000083,0
3004290,145684,O,86935.28,1995-05-14,3-MEDIUM,Clerk#000000910,0
3004291,48271,O,297323.59,1998-07-09,4-NOT SPECIFIED,Clerk#000000279,0
3004292,79102,O,159309.53,1996-12-10,4-NOT SPECIFIED,Clerk#000000757,0
3004293,141739,O,257668.29,1995-07-08,4-NOT SPECIFIED,Clerk#000000440,0
3004294,24988,F,152905.13,1994-07-22,4-NOT SPECIFIED,Clerk#000000486,0
3004295,122257,F,172373.11,1994-06-11,3-MEDIUM,Clerk#000000057,0
3004320,45850,F,225975.07,1994-03-09,3-MEDIUM,Clerk#000000859,0
3004321,23557,O,199580.13,1998-05-27,3-MEDIUM,Clerk#000000563,0
3004322,69272,F,49816.31,1995-01-02,1-URGENT,Clerk#000000903,0
3004323,91567,F,306962.52,1993-09-08,1-URGENT,Clerk#000000635,0
3004324,91117,O,40894.98,1995-11-16,4-NOT SPECIFIED,Clerk#000000420,0
3004325,43928,F,119315.53,1993-10-05,1-URGENT,Clerk#000000866,0
3004326,138880,O,102932.21,1998-05-25,3-MEDIUM,Clerk#000000283,0
3004327,130837,O,116945.18,1998-05-09,1-URGENT,Clerk#000000401,0
3004352,101756,O,34499.59,1996-12-04,2-HIGH,Clerk#000000592,0
3004353,54046,O,258928.49,1997-08-09,4-NOT SPECIFIED,Clerk#000000552,0
3004354,75073,O,202381.47,1998-07-30,1-URGENT,Clerk#000000324,0
3004355,72646,O,198044.02,1996-09-28,2-HIGH,Clerk#000000742,0
3004356,98242,F,161495.94,1994-04-25,4-NOT SPECIFIED,Clerk#000000534,0
3004357,83971,O,281436.47,1997-12-04,2-HIGH,Clerk#000000922,0
3004358,69340,F,139164.97,1992-04-05,2-HIGH,Clerk#000000778,0
3004359,32083,F,180172.73,1995-03-11,5-LOW,Clerk#000000621,0
3004384,100985,F,6450.36,1994-10-06,1-URGENT,Clerk#000000589,0
3004385,142958,F,24154.13,1992-09-15,1-URGENT,Clerk#000000029,0
3004386,130114,F,203493.04,1993-05-06,1-URGENT,Clerk#000000846,0
3004387,115150,F,183078.41,1992-10-17,4-NOT SPECIFIED,Clerk#000000745,0
3004388,4687,O,95451.21,1996-08-19,2-HIGH,Clerk#000000222,0
3004389,143650,F,90696.06,1993-05-22,1-URGENT,Clerk#000000469,0
3004390,65213,F,73741.86,1994-08-07,3-MEDIUM,Clerk#000000705,0
3004391,121699,F,158446.13,1993-05-27,2-HIGH,Clerk#000000826,0
3004416,113765,F,277556.46,1993-11-20,1-URGENT,Clerk#000000430,0
3004417,144617,F,18973.24,1994-02-07,3-MEDIUM,Clerk#000000276,0
3004418,116758,O,113706.86,1995-11-01,1-URGENT,Clerk#000000020,0
3004419,51461,O,124286.66,1997-12-09,5-LOW,Clerk#000000101,0
3004420,4765,F,92373.16,1994-01-07,5-LOW,Clerk#000000919,0
3004421,118033,F,24833.77,1993-12-03,5-LOW,Clerk#000000527,0
3004422,12068,O,115451.87,1998-04-15,3-MEDIUM,Clerk#000000073,0
3004423,19903,F,88287.26,1993-02-18,5-LOW,Clerk#000000119,0
3004448,141347,F,262997.09,1994-10-10,2-HIGH,Clerk#000000284,0
3004449,59554,F,13372.10,1994-08-30,3-MEDIUM,Clerk#000000358,0
3004450,110696,O,19761.62,1996-01-11,4-NOT SPECIFIED,Clerk#000000277,0
3004451,17293,F,261416.33,1994-04-28,5-LOW,Clerk#000000338,0
3004452,65530,F,118891.13,1994-01-30,1-URGENT,Clerk#000000894,0
3004453,29441,F,136714.59,1993-04-03,4-NOT SPECIFIED,Clerk#000000284,0
3004454,108001,O,190033.50,1997-02-03,2-HIGH,Clerk#000000562,0
3004455,2381,F,115544.13,1993-04-28,2-HIGH,Clerk#000000917,0
3004480,115507,O,117189.36,1996-01-05,1-URGENT,Clerk#000000650,0
3004481,22454,O,36163.47,1997-04-12,2-HIGH,Clerk#000000741,0
3004482,122255,F,150551.58,1995-03-14,4-NOT SPECIFIED,Clerk#000000793,0
3004483,24578,O,154905.41,1996-01-08,1-URGENT,Clerk#000000926,0
3004484,123580,F,200893.33,1992-08-24,4-NOT SPECIFIED,Clerk#000000762,0
3004485,97348,F,49505.12,1995-02-23,2-HIGH,Clerk#000000898,0
3004486,49306,O,177017.57,1995-11-08,1-URGENT,Clerk#000000148,0
3004487,59681,O,135548.77,1995-06-03,4-NOT SPECIFIED,Clerk#000000991,0
3004512,145703,O,55737.03,1997-11-21,1-URGENT,Clerk#000000974,0
3004513,78670,O,244343.54,1997-04-27,5-LOW,Clerk#000000295,0
3004514,78365,F,201572.36,1993-12-21,2-HIGH,Clerk#000000017,0
3004515,76019,O,32051.13,1996-12-18,3-MEDIUM,Clerk#000000210,0
3004516,98959,F,377113.53,1993-02-08,3-MEDIUM,Clerk#000000003,0
3004517,123950,F,269027.14,1994-12-09,1-URGENT,Clerk#000000525,0
3004518,26860,F,141920.28,1992-11-02,2-HIGH,Clerk#000000324,0
3004519,59075,O,194558.75,1997-09-06,5-LOW,Clerk#000000645,0
3004544,22159,O,78442.20,1996-08-06,2-HIGH,Clerk#000000755,0
3004545,118636,O,134763.74,1995-06-23,4-NOT SPECIFIED,Clerk#000000562,0
3004546,86413,F,252824.70,1993-06-07,4-NOT SPECIFIED,Clerk#000000414,0
3004547,17632,O,331893.76,1996-05-05,4-NOT SPECIFIED,Clerk#000000496,0
3004548,70442,F,63377.31,1994-08-16,5-LOW,Clerk#000000066,0
3004549,113887,O,148757.94,1995-11-27,2-HIGH,Clerk#000000304,0
3004550,97975,O,221442.66,1996-03-06,5-LOW,Clerk#000000516,0
3004551,90430,F,124973.90,1994-08-05,5-LOW,Clerk#000000324,0
3004576,48434,O,196694.12,1998-02-24,3-MEDIUM,Clerk#000000420,0
3004577,115045,O,92613.93,1997-07-16,4-NOT SPECIFIED,Clerk#000000159,0
3004578,34870,O,266061.60,1997-07-17,1-URGENT,Clerk#000000890,0
3004579,9082,F,260139.49,1994-01-22,3-MEDIUM,Clerk#000000388,0
3004580,81239,F,56940.06,1993-05-18,3-MEDIUM,Clerk#000000077,0
3004581,69980,O,278980.60,1996-06-16,5-LOW,Clerk#000000160,0
3004582,147811,O,256902.08,1998-04-18,3-MEDIUM,Clerk#000000977,0
3004583,80912,O,126925.61,1997-05-06,1-URGENT,Clerk#000000548,0
3004608,137176,O,88422.08,1997-11-15,2-HIGH,Clerk#000000307,0
3004609,146599,F,110508.39,1992-10-28,2-HIGH,Clerk#000000494,0
3004610,129961,F,185170.03,1994-03-08,4-NOT SPECIFIED,Clerk#000000284,0
3004611,83479,O,199151.06,1997-04-06,2-HIGH,Clerk#000000467,0
3004612,58126,F,126897.91,1993-04-11,3-MEDIUM,Clerk#000000726,0
3004613,100546,O,75797.17,1998-07-17,5-LOW,Clerk#000000929,0
3004614,125900,O,183854.68,1997-06-25,4-NOT SPECIFIED,Clerk#000000997,0
3004615,98797,F,225759.50,1993-06-03,3-MEDIUM,Clerk#000000537,0
3004640,119203,F,227676.67,1993-02-18,5-LOW,Clerk#000000436,0
3004641,17042,F,168758.12,1993-05-11,1-URGENT,Clerk#000000081,0
3004642,66676,F,183029.41,1993-11-15,1-URGENT,Clerk#000000461,0
3004643,100873,F,191110.91,1994-07-30,3-MEDIUM,Clerk#000000264,0
3004644,48158,O,122560.17,1998-02-18,2-HIGH,Clerk#000000004,0
3004645,139684,F,171821.73,1993-03-13,1-URGENT,Clerk#000000615,0
3004646,16423,F,59256.35,1994-10-08,5-LOW,Clerk#000000637,0
3004647,143821,P,279975.49,1995-03-28,2-HIGH,Clerk#000000759,0
3004672,98020,F,167000.81,1994-03-18,2-HIGH,Clerk#000000623,0
3004673,110887,F,95507.06,1994-10-09,4-NOT SPECIFIED,Clerk#000000067,0
3004674,58411,O,259794.63,1996-06-09,5-LOW,Clerk#000000057,0
3004675,110920,F,41471.05,1993-09-05,1-URGENT,Clerk#000000448,0
3004676,27931,O,17168.18,1995-08-02,1-URGENT,Clerk#000000337,0
3004677,60533,O,232555.37,1996-01-27,3-MEDIUM,Clerk#000000230,0
3004678,72742,F,70053.49,1995-01-22,1-URGENT,Clerk#000000664,0
3004679,63713,F,152789.53,1994-09-29,5-LOW,Clerk#000000816,0
3004704,118396,F,301109.72,1993-06-12,3-MEDIUM,Clerk#000000245,0
3004705,98536,F,188795.09,1993-06-07,2-HIGH,Clerk#000000987,0
3004706,67481,O,228614.14,1996-05-12,2-HIGH,Clerk#000000698,0
3004707,140890,O,209710.32,1995-10-03,2-HIGH,Clerk#000000538,0
3004708,23497,F,273773.67,1993-12-27,2-HIGH,Clerk#000000924,0
3004709,95173,O,169400.93,1995-07-28,2-HIGH,Clerk#000000668,0
3004710,112874,F,167666.46,1993-08-31,2-HIGH,Clerk#000000445,0
3004711,9035,F,305281.91,1992-11-25,2-HIGH,Clerk#000000583,0
3004736,46339,F,149843.05,1992-10-06,2-HIGH,Clerk#000000271,0
3004737,143861,O,77992.67,1998-04-17,1-URGENT,Clerk#000000361,0
3004738,6751,O,167681.77,1996-02-21,3-MEDIUM,Clerk#000000299,0
3004739,53170,F,89155.27,1993-09-16,2-HIGH,Clerk#000000404,0
3004740,60511,O,208137.70,1996-03-12,5-LOW,Clerk#000000030,0
3004741,144022,F,9401.90,1994-10-13,5-LOW,Clerk#000000642,0
3004742,10684,F,317166.66,1992-04-02,5-LOW,Clerk#000000058,0
3004743,172,O,100991.27,1996-08-07,3-MEDIUM,Clerk#000000487,0
3004768,31057,F,85268.15,1992-10-06,3-MEDIUM,Clerk#000000367,0
3004769,101032,F,102640.82,1994-10-31,2-HIGH,Clerk#000000578,0
3004770,40175,F,83602.86,1992-07-11,3-MEDIUM,Clerk#000001000,0
3004771,70405,F,364834.73,1993-02-03,4-NOT SPECIFIED,Clerk#000000924,0
3004772,77864,F,281200.72,1993-03-11,4-NOT SPECIFIED,Clerk#000000260,0
3004773,56006,F,359653.33,1994-10-26,5-LOW,Clerk#000000112,0
3004774,39394,O,92203.81,1996-10-06,4-NOT SPECIFIED,Clerk#000000537,0
3004775,115759,F,83486.79,1995-03-10,3-MEDIUM,Clerk#000000348,0
3004800,29791,F,292581.86,1995-02-10,1-URGENT,Clerk#000000760,0
3004801,144364,O,210339.35,1998-05-08,1-URGENT,Clerk#000000062,0
3004802,48370,O,59164.20,1997-08-24,3-MEDIUM,Clerk#000000998,0
3004803,85952,O,133246.99,1996-10-27,3-MEDIUM,Clerk#000000427,0
3004804,92756,O,104956.01,1995-11-19,5-LOW,Clerk#000000316,0
3004805,140644,F,16084.81,1993-02-04,2-HIGH,Clerk#000000662,0
3004806,82633,F,204864.99,1993-02-28,2-HIGH,Clerk#000000374,0
3004807,82691,F,173374.52,1994-08-14,3-MEDIUM,Clerk#000000666,0
3004832,35107,F,156729.12,1995-03-30,2-HIGH,Clerk#000000087,0
3004833,68626,F,237032.83,1995-01-17,3-MEDIUM,Clerk#000000837,0
3004834,32821,O,73561.36,1996-06-12,1-URGENT,Clerk#000000454,0
3004835,71423,F,245809.12,1992-05-17,3-MEDIUM,Clerk#000000190,0
3004836,104896,O,8591.60,1997-12-12,1-URGENT,Clerk#000000838,0
3004837,19711,P,158451.26,1995-05-26,2-HIGH,Clerk#000000148,0
3004838,74132,F,215473.57,1992-06-26,1-URGENT,Clerk#000000528,0
3004839,21139,O,218299.20,1998-03-14,1-URGENT,Clerk#000000836,0
3004864,59602,F,2132.56,1993-01-23,2-HIGH,Clerk#000000676,0
3004865,14692,F,98228.08,1992-02-24,4-NOT SPECIFIED,Clerk#000000103,0
3004866,12730,O,146486.74,1996-03-10,4-NOT SPECIFIED,Clerk#000000502,0
3004867,44672,O,299828.98,1997-04-28,2-HIGH,Clerk#000000642,0
3004868,48844,O,92188.49,1995-08-13,5-LOW,Clerk#000000085,0
3004869,103532,O,290517.66,1996-09-21,4-NOT SPECIFIED,Clerk#000000284,0
3004870,60634,F,84998.13,1993-10-14,1-URGENT,Clerk#000000479,0
3004871,111886,O,74073.81,1997-03-30,4-NOT SPECIFIED,Clerk#000000535,0
3004896,65953,O,120248.45,1997-08-08,2-HIGH,Clerk#000000236,0
3004897,112730,F,231299.30,1993-02-18,5-LOW,Clerk#000000689,0
3004898,141085,O,75327.11,1997-10-28,2-HIGH,Clerk#000000435,0
3004899,8498,O,105362.56,1997-05-11,4-NOT SPECIFIED,Clerk#000000812,0
3004900,21833,O,217849.78,1996-06-05,5-LOW,Clerk#000000206,0
3004901,38347,O,262855.15,1998-01-21,5-LOW,Clerk#000000481,0
3004902,68023,F,95715.07,1992-01-08,1-URGENT,Clerk#000000174,0
3004903,106010,F,174937.85,1993-12-30,4-NOT SPECIFIED,Clerk#000000307,0
3004928,149830,O,131649.25,1998-07-03,3-MEDIUM,Clerk#000000110,0
3004929,133442,O,344309.22,1996-01-08,3-MEDIUM,Clerk#000000855,0
3004930,102991,O,170284.03,1996-10-31,4-NOT SPECIFIED,Clerk#000000178,0
3004931,105344,O,261734.80,1998-03-12,4-NOT SPECIFIED,Clerk#000000301,0
3004932,60169,F,325896.13,1993-02-13,4-NOT SPECIFIED,Clerk#000000716,0
3004933,93529,F,28037.07,1992-01-15,4-NOT SPECIFIED,Clerk#000000540,0
3004934,83044,O,299371.75,1996-06-12,2-HIGH,Clerk#000000342,0
3004935,103703,O,109978.47,1996-03-01,2-HIGH,Clerk#000000391,0
3004960,79303,O,11468.27,1996-02-19,1-URGENT,Clerk#000000803,0
3004961,64907,O,148526.28,1996-11-22,2-HIGH,Clerk#000000042,0
3004962,84025,O,16360.44,1996-10-01,1-URGENT,Clerk#000000849,0
3004963,81706,F,73226.84,1993-03-17,1-URGENT,Clerk#000000610,0
3004964,104965,O,37597.78,1997-06-06,1-URGENT,Clerk#000000418,0
3004965,145904,O,114991.26,1996-04-07,1-URGENT,Clerk#000000546,0
3004966,149008,F,299123.57,1992-03-03,5-LOW,Clerk#000000225,0
3004967,97030,F,187649.52,1995-01-13,4-NOT SPECIFIED,Clerk#000000591,0
3004992,107464,O,54951.13,1996-02-11,3-MEDIUM,Clerk#000000731,0
3004993,118457,F,79179.35,1993-01-12,3-MEDIUM,Clerk#000000045,0
3004994,91111,O,95163.05,1995-12-11,3-MEDIUM,Clerk#000000017,0
3004995,87160,O,99656.76,1995-09-16,3-MEDIUM,Clerk#000000322,0
3004996,143797,F,94418.51,1994-12-07,5-LOW,Clerk#000000640,0
3004997,125251,O,40253.26,1997-05-05,4-NOT SPECIFIED,Clerk#000000159,0
3004998,123724,F,64084.42,1993-12-08,4-NOT SPECIFIED,Clerk#000000786,0
3004999,116755,F,197733.61,1994-09-02,4-NOT SPECIFIED,Clerk#000000560,0
3005024,122905,O,27736.54,1997-02-24,5-LOW,Clerk#000000962,0
3005025,137639,F,170221.53,1992-11-19,1-URGENT,Clerk#000000981,0
3005026,141832,F,141442.03,1994-04-09,4-NOT SPECIFIED,Clerk#000000784,0
3005027,88436,O,89594.95,1995-09-23,5-LOW,Clerk#000000554,0
3005028,142120,P,253757.47,1995-03-19,4-NOT SPECIFIED,Clerk#000000327,0
3005029,127567,F,317473.60,1993-07-20,4-NOT SPECIFIED,Clerk#000000779,0
3005030,46867,F,154617.51,1994-11-20,4-NOT SPECIFIED,Clerk#000000501,0
3005031,22159,F,43994.36,1993-11-13,4-NOT SPECIFIED,Clerk#000000718,0
3005056,95653,F,108561.72,1993-01-24,5-LOW,Clerk#000000756,0
3005057,88852,F,220017.63,1994-06-21,3-MEDIUM,Clerk#000000410,0
3005058,58163,F,182110.84,1993-07-18,5-LOW,Clerk#000000682,0
3005059,140195,F,83656.25,1994-12-13,5-LOW,Clerk#000000064,0
3005060,46172,P,298051.64,1995-03-07,2-HIGH,Clerk#000000099,0
3005061,46219,F,194227.80,1993-09-17,3-MEDIUM,Clerk#000000531,0
3005062,98620,O,265140.87,1995-07-01,4-NOT SPECIFIED,Clerk#000000183,0
3005063,130079,P,147373.66,1995-05-08,5-LOW,Clerk#000000437,0
3005088,129079,F,188468.54,1994-05-29,4-NOT SPECIFIED,Clerk#000000271,0
3005089,102652,F,10130.11,1993-06-03,3-MEDIUM,Clerk#000000608,0
3005090,93583,F,17739.49,1994-07-29,5-LOW,Clerk#000000348,0
3005091,67004,O,215273.02,1996-05-19,2-HIGH,Clerk#000000806,0
3005092,73339,F,158268.41,1994-09-18,4-NOT SPECIFIED,Clerk#000000296,0
3005093,30265,O,3685.78,1997-01-16,3-MEDIUM,Clerk#000000746,0
3005094,146167,F,144802.08,1992-04-15,3-MEDIUM,Clerk#000000473,0
3005095,75529,F,128300.37,1993-01-27,4-NOT SPECIFIED,Clerk#000000054,0
3005120,83548,F,210413.03,1994-04-19,1-URGENT,Clerk#000000553,0
3005121,25006,F,235463.38,1994-04-02,1-URGENT,Clerk#000000730,0
3005122,121762,F,419182.90,1994-09-13,3-MEDIUM,Clerk#000000085,0
3005123,132580,O,173382.79,1995-12-20,2-HIGH,Clerk#000000298,0
3005124,144731,O,128901.92,1997-01-21,3-MEDIUM,Clerk#000000462,0
3005125,86509,F,188109.15,1994-03-06,3-MEDIUM,Clerk#000000275,0
3005126,127783,O,200835.53,1998-05-01,4-NOT SPECIFIED,Clerk#000000437,0
3005127,85480,F,146303.68,1993-11-30,1-URGENT,Clerk#000000659,0
3005152,82585,O,24124.04,1996-06-02,2-HIGH,Clerk#000000116,0
3005153,43013,O,173785.72,1998-01-21,5-LOW,Clerk#000000675,0
3005154,55168,O,209710.18,1996-01-19,2-HIGH,Clerk#000000648,0
3005155,30517,F,262491.84,1992-01-05,1-URGENT,Clerk#000000983,0
3005156,49174,F,238839.23,1993-12-16,5-LOW,Clerk#000000067,0
3005157,90361,F,238562.10,1994-12-03,2-HIGH,Clerk#000000022,0
3005158,77735,F,24984.43,1995-02-05,1-URGENT,Clerk#000000460,0
3005159,129697,O,93229.75,1997-08-04,4-NOT SPECIFIED,Clerk#000000144,0
3005184,143917,F,356781.61,1995-01-18,4-NOT SPECIFIED,Clerk#000000883,0
3005185,33613,P,109899.88,1995-04-15,3-MEDIUM,Clerk#000000352,0
3005186,30074,O,264117.13,1997-01-09,3-MEDIUM,Clerk#000000956,0
3005187,100948,O,146766.78,1997-10-31,2-HIGH,Clerk#000000288,0
3005188,130642,O,78544.60,1996-06-17,5-LOW,Clerk#000000477,0
3005189,148991,P,161894.42,1995-03-05,1-URGENT,Clerk#000000603,0
3005190,131534,F,70887.75,1994-01-03,3-MEDIUM,Clerk#000000925,0
3005191,137923,O,84655.02,1998-02-04,5-LOW,Clerk#000000117,0
3005216,93551,O,76636.81,1998-02-13,2-HIGH,Clerk#000000276,0
3005217,6820,F,226539.41,1995-01-20,1-URGENT,Clerk#000000417,0
3005218,20890,F,72993.81,1992-07-20,4-NOT SPECIFIED,Clerk#000000649,0
3005219,69424,O,87402.73,1996-11-30,1-URGENT,Clerk#000000597,0
3005220,76030,O,328637.86,1998-04-27,4-NOT SPECIFIED,Clerk#000000466,0
3005221,128047,O,141794.40,1997-03-02,2-HIGH,Clerk#000000938,0
3005222,26849,O,255058.74,1995-09-01,4-NOT SPECIFIED,Clerk#000000096,0
3005223,42326,O,143322.22,1998-03-06,3-MEDIUM,Clerk#000000786,0
3005248,58315,F,84680.71,1992-04-02,5-LOW,Clerk#000000715,0
3005249,128299,F,285057.60,1992-10-10,4-NOT SPECIFIED,Clerk#000000610,0
3005250,67904,F,157550.80,1992-09-19,2-HIGH,Clerk#000000488,0
3005251,48956,O,137463.53,1996-03-25,1-URGENT,Clerk#000000586,0
3005252,43174,O,143896.79,1996-08-17,5-LOW,Clerk#000000634,0
3005253,74239,O,226060.34,1995-09-16,1-URGENT,Clerk#000000812,0
3005254,4487,F,207920.61,1992-02-10,3-MEDIUM,Clerk#000000016,0
3005255,99313,F,251796.02,1992-03-13,4-NOT SPECIFIED,Clerk#000000691,0
3005280,91390,F,172317.52,1993-07-06,4-NOT SPECIFIED,Clerk#000000032,0
3005281,112256,O,87114.81,1996-04-02,1-URGENT,Clerk#000000613,0
3005282,121735,O,249103.37,1996-08-26,4-NOT SPECIFIED,Clerk#000000259,0
3005283,136774,O,76357.25,1996-12-23,1-URGENT,Clerk#000000774,0
3005284,132667,O,162834.47,1995-07-26,4-NOT SPECIFIED,Clerk#000000558,0
3005285,108365,O,243817.10,1997-10-20,5-LOW,Clerk#000000035,0
3005286,126037,O,199658.44,1997-08-09,1-URGENT,Clerk#000000965,0
3005287,121463,O,339701.58,1997-06-29,4-NOT SPECIFIED,Clerk#000000719,0
3005312,68465,O,227847.31,1997-11-20,5-LOW,Clerk#000000843,0
3005313,35233,O,51872.87,1998-03-16,4-NOT SPECIFIED,Clerk#000000806,0
3005314,79222,F,246484.59,1992-09-16,1-URGENT,Clerk#000000317,0
3005315,64684,O,302685.15,1996-12-16,4-NOT SPECIFIED,Clerk#000000355,0
3005316,75700,F,63371.65,1993-08-23,1-URGENT,Clerk#000000373,0
3005317,125848,F,190994.03,1992-06-10,5-LOW,Clerk#000000252,0
3005318,106378,O,316841.34,1997-07-19,5-LOW,Clerk#000000542,0
3005319,40103,O,129860.84,1995-07-12,5-LOW,Clerk#000000573,0
3005344,45628,O,44866.32,1997-04-20,3-MEDIUM,Clerk#000000825,0
3005345,49285,O,71636.94,1995-09-16,1-URGENT,Clerk#000000127,0
3005346,21178,O,71502.72,1996-09-28,4-NOT SPECIFIED,Clerk#000000831,0
3005347,106175,O,62151.73,1996-08-20,5-LOW,Clerk#000000709,0
3005348,76175,O,79687.48,1996-08-24,2-HIGH,Clerk#000000952,0
3005349,7522,F,135672.77,1992-01-30,5-LOW,Clerk#000000880,0
3005350,110659,F,312609.49,1994-05-27,4-NOT SPECIFIED,Clerk#000000939,0
3005351,130970,F,163164.72,1994-04-14,2-HIGH,Clerk#000000113,0
3005376,111971,O,51804.53,1996-01-17,5-LOW,Clerk#000000142,0
3005377,139841,F,143690.59,1992-06-19,1-URGENT,Clerk#000000177,0
3005378,100754,O,274612.23,1998-07-25,4-NOT SPECIFIED,Clerk#000000170,0
3005379,18697,F,181143.54,1992-01-10,1-URGENT,Clerk#000000464,0
3005380,132655,O,163008.80,1995-11-13,4-NOT SPECIFIED,Clerk#000000912,0
3005381,69341,O,20732.46,1997-07-08,2-HIGH,Clerk#000000288,0
3005382,62224,F,222617.61,1994-07-30,2-HIGH,Clerk#000000868,0
3005383,116161,F,142114.23,1993-07-17,5-LOW,Clerk#000000961,0
3005408,54614,O,82522.19,1998-04-29,1-URGENT,Clerk#000000544,0
3005409,37637,F,241806.58,1993-04-14,2-HIGH,Clerk#000000565,0
3005410,5057,O,102173.39,1997-05-29,4-NOT SPECIFIED,Clerk#000000230,0
3005411,88408,F,79318.94,1992-02-06,4-NOT SPECIFIED,Clerk#000000712,0
3005412,117172,O,250497.63,1996-07-11,4-NOT SPECIFIED,Clerk#000000366,0
3005413,91124,P,203462.89,1995-05-08,2-HIGH,Clerk#000000718,0
3005414,10087,O,138086.25,1997-09-30,3-MEDIUM,Clerk#000000019,0
3005415,9577,F,154094.84,1992-03-31,2-HIGH,Clerk#000000349,0
3005440,149467,F,33356.85,1992-10-05,5-LOW,Clerk#000000208,0
3005441,41149,O,342958.13,1997-03-24,2-HIGH,Clerk#000000930,0
3005442,82106,F,351688.30,1993-05-04,2-HIGH,Clerk#000000188,0
